"DXXTRBMD.Code.or.Value","DXXTRBMD.Value.Description","DXXTRBMD.Count","DXXTRBMD.Cumulative","DXXTRBMD.Skip.to.Item"
"0.293 to 1.594","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
