"URXMPB.Code.or.Value","URXMPB.Value.Description","URXMPB.Count","URXMPB.Cumulative","URXMPB.Skip.to.Item"
"0.71 to 13200","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
