"SMQ666N.Code.or.Value","SMQ666N.Value.Description","SMQ666N.Count","SMQ666N.Cumulative","SMQ666N.Skip.to.Item"
"1","Regulars",117,117,NA
"2","Lights",10,127,NA
"3","Ultralights",0,127,NA
"7","Refused",1,128,NA
"9","Don't know",0,128,NA
".","Missing",6630,6758,NA
