"BIXS093K.Code.or.Value","BIXS093K.Value.Description","BIXS093K.Count","BIXS093K.Cumulative","BIXS093K.Skip.to.Item"
"251.73 to 904.99","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
