"DR1IB12A.Code.or.Value","DR1IB12A.Value.Description","DR1IB12A.Count","DR1IB12A.Cumulative","DR1IB12A.Skip.to.Item"
"0 to 38.03","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
