"PAXMYM.Code.or.Value","PAXMYM.Value.Description","PAXMYM.Count","PAXMYM.Cumulative","PAXMYM.Skip.to.Item"
"0 to 558.492","Range of Values",78122385,78122385,NA
"-0.01","Value could not be computed",4471,78126856,NA
".","Missing",0,78126856,NA
