"OSQ150.Code.or.Value","OSQ150.Value.Description","OSQ150.Count","OSQ150.Cumulative","OSQ150.Skip.to.Item"
"1","Yes",422,422,""
"2","No",4319,4741,"OSQ170"
"7","Refused",0,4741,"OSQ170"
"9","Don't know",238,4979,"OSQ170"
".","Missing",0,4979,""
