"PAQ560.Code.or.Value","PAQ560.Value.Description","PAQ560.Count","PAQ560.Cumulative","PAQ560.Skip.to.Item"
"0 to 77","Range of Values",1953,1953,NA
"77777","Refused",0,1953,NA
"99999","Don't know",6,1959,NA
".","Missing",7319,9278,NA
