"DS1IVK.Code.or.Value","DS1IVK.Value.Description","DS1IVK.Count","DS1IVK.Cumulative","DS1IVK.Skip.to.Item"
"5 to 550","Range of Values",832,832,NA
".","Missing",5126,5958,NA
