"LBDF09LC.Code.or.Value","LBDF09LC.Value.Description","LBDF09LC.Count","LBDF09LC.Cumulative","LBDF09LC.Skip.to.Item"
"0","detectable result",103,103,NA
"1","below detectable limit",1749,1852,NA
".","Missing",433,2285,NA
