"WTMREP01.Code.or.Value","WTMREP01.Value.Description","WTMREP01.Count","WTMREP01.Cumulative","WTMREP01.Skip.to.Item"
"0 to 258536.54745","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
