"RFXC103.Code.or.Value","RFXC103.Value.Description","RFXC103.Count","RFXC103.Cumulative","RFXC103.Skip.to.Item"
"-7.648 to 5.134","Range of Values",51061,51061,NA
".","Missing",15,51076,NA
