"LBDBR5LC.Code.or.Value","LBDBR5LC.Value.Description","LBDBR5LC.Count","LBDBR5LC.Cumulative","LBDBR5LC.Skip.to.Item"
"0","At or above the detection limit",1395,1395,NA
"1","Below lower detection limit",590,1985,NA
".","Missing",352,2337,NA
