"DR2IS140.Code.or.Value","DR2IS140.Value.Description","DR2IS140.Count","DR2IS140.Cumulative","DR2IS140.Skip.to.Item"
"0 to 11.644","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
