"DR2TM221.Code.or.Value","DR2TM221.Value.Description","DR2TM221.Count","DR2TM221.Cumulative","DR2TM221.Skip.to.Item"
"0 to 3.058","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
