"DIQ240.Code.or.Value","DIQ240.Value.Description","DIQ240.Count","DIQ240.Cumulative","DIQ240.Skip.to.Item"
"1","Yes",589,589,""
"2","No",188,777,"DID260"
"7","Refused",0,777,"DID260"
"9","Don't know",0,777,"DID260"
".","Missing",8889,9666,""
