"FSQ235.Code.or.Value","FSQ235.Value.Description","FSQ235.Count","FSQ235.Cumulative","FSQ235.Skip.to.Item"
"10 to 1250","Range of Values",2097,2097,NA
"77777","Refused",14,2111,NA
"99999","Don't know",77,2188,NA
".","Missing",7961,10149,NA
