"ORXH64.Code.or.Value","ORXH64.Value.Description","ORXH64.Count","ORXH64.Cumulative","ORXH64.Skip.to.Item"
"1","Positive",0,0,NA
"2","Negative",4724,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
