"DSQICALC.Code.or.Value","DSQICALC.Value.Description","DSQICALC.Count","DSQICALC.Cumulative","DSQICALC.Skip.to.Item"
"2 to 6300","Range of Values",3211,3211,NA
".","Missing",5058,8269,NA
