"ARQ023QE.Code.or.Value","ARQ023QE.Value.Description","ARQ023QE.Count","ARQ023QE.Cumulative","ARQ023QE.Skip.to.Item"
"17 to 67","Range of Values",68,68,NA
"777","Refused",0,68,NA
"999","Don't know",0,68,NA
".","Missing",5038,5106,NA
