"URDUMMAL.Code.or.Value","URDUMMAL.Value.Description","URDUMMAL.Count","URDUMMAL.Cumulative","URDUMMAL.Skip.to.Item"
"0","At or above the detection limit",618,618,NA
"1","Below lower detection limit",1659,2277,NA
".","Missing",72,2349,NA
