"LBCBR6LA.Code.or.Value","LBCBR6LA.Value.Description","LBCBR6LA.Count","LBCBR6LA.Cumulative","LBCBR6LA.Skip.to.Item"
"1.6 to 74.8","Range of Values",247,247,NA
".","Missing",0,247,NA
