"DUQ350U.Code.or.Value","DUQ350U.Value.Description","DUQ350U.Count","DUQ350U.Cumulative","DUQ350U.Skip.to.Item"
"1","Days",28,28,NA
"2","Weeks",7,35,NA
"3","Months",22,57,NA
"4","Years",173,230,NA
"7","Refused",0,230,NA
"9","Don't know",0,230,NA
".","Missing",4342,4572,NA
