"URDACT.Code.or.Value","URDACT.Value.Description","URDACT.Count","URDACT.Cumulative","URDACT.Skip.to.Item"
"0.22 to 21152.17","Range of Values",8280,8280,NA
".","Missing",328,8608,NA
