"DR2TP184.Code.or.Value","DR2TP184.Value.Description","DR2TP184.Count","DR2TP184.Cumulative","DR2TP184.Skip.to.Item"
"0 to 0.803","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
