"MCQ240G.Code.or.Value","MCQ240G.Value.Description","MCQ240G.Count","MCQ240G.Cumulative","MCQ240G.Skip.to.Item"
"37 to 82","Range of Values",36,36,NA
"85","85 years or older",3,39,NA
"77777","Refused",0,39,NA
"99999","Don't know",0,39,NA
".","Missing",9606,9645,NA
