"DS1TZINC.Code.or.Value","DS1TZINC.Value.Description","DS1TZINC.Count","DS1TZINC.Cumulative","DS1TZINC.Skip.to.Item"
"0.18 to 160","Range of Values",1570,1570,NA
".","Missing",8243,9813,NA
