"BMXHT.Code.or.Value","BMXHT.Value.Description","BMXHT.Count","BMXHT.Cumulative","BMXHT.Skip.to.Item"
"79.7 to 204.4","Range of Values",8690,8690,NA
".","Missing",953,9643,NA
