"LBXF04LA.Code.or.Value","LBXF04LA.Value.Description","LBXF04LA.Count","LBXF04LA.Cumulative","LBXF04LA.Skip.to.Item"
"1 to 44.4","Range of Values",1223,1223,NA
".","Missing",1324,2547,NA
