"TYXP176.Code.or.Value","TYXP176.Value.Description","TYXP176.Count","TYXP176.Cumulative","TYXP176.Skip.to.Item"
"-295 to 166","Range of Values",1084,1084,NA
".","Missing",4501,5585,NA
