"DXXOSA.Code.or.Value","DXXOSA.Value.Description","DXXOSA.Count","DXXOSA.Cumulative","DXXOSA.Skip.to.Item"
"23.28 to 89.78","Range of Values",5793,5793,NA
".","Missing",1941,7734,NA
