"LBXCOT.Code.or.Value","LBXCOT.Value.Description","LBXCOT.Count","LBXCOT.Cumulative","LBXCOT.Skip.to.Item"
"0.035 to 989","Range of Values",7284,7284,NA
".","Missing",1548,8832,NA
