"AUXRR184.Code.or.Value","AUXRR184.Value.Description","AUXRR184.Count","AUXRR184.Cumulative","AUXRR184.Skip.to.Item"
"-47 to 91","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
