"LBCMIR.Code.or.Value","LBCMIR.Value.Description","LBCMIR.Count","LBCMIR.Cumulative","LBCMIR.Skip.to.Item"
"3.536 to 194.7","Range of Values",251,251,NA
".","Missing",0,251,NA
