"FSD170N.Code.or.Value","FSD170N.Value.Description","FSD170N.Count","FSD170N.Cumulative","FSD170N.Skip.to.Item"
"0 to 6","Range of Values",10129,10129,NA
"7","7 or more",68,10197,NA
".","Missing",151,10348,NA
