"LBDPDELC.Code.or.Value","LBDPDELC.Value.Description","LBDPDELC.Count","LBDPDELC.Cumulative","LBDPDELC.Skip.to.Item"
"0","At or above the detection limit",250,250,NA
"1","Below lower detection limit",0,250,NA
".","Missing",1,251,NA
