"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"0.71 to 32.49","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
