"URXDCB.Code.or.Value","URXDCB.Value.Description","URXDCB.Count","URXDCB.Cumulative","URXDCB.Skip.to.Item"
"0.14 to 1230","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
