"FSDAD.Code.or.Value","FSDAD.Value.Description","FSDAD.Count","FSDAD.Cumulative","FSDAD.Skip.to.Item"
"1","AD full food security: 0",6158,6158,NA
"2","AD marginal food security: 1-2",1437,7595,NA
"3","AD low food security: 3-5",1213,8808,NA
"4","AD very low food security: 6-10",899,9707,NA
".","Missing",49,9756,NA
