"SPDBACC.Code.or.Value","SPDBACC.Value.Description","SPDBACC.Count","SPDBACC.Cumulative","SPDBACC.Skip.to.Item"
"2 to 8","Range of Values",496,496,NA
".","Missing",7699,8195,NA
