"DS1IFDFE.Code.or.Value","DS1IFDFE.Value.Description","DS1IFDFE.Count","DS1IFDFE.Cumulative","DS1IFDFE.Skip.to.Item"
"10.625 to 6800","Range of Values",1966,1966,NA
".","Missing",3940,5906,NA
