"TBABCG.Code.or.Value","TBABCG.Value.Description","TBABCG.Count","TBABCG.Cumulative","TBABCG.Skip.to.Item"
"1","Present",619,619,NA
"2","Absent",6992,7611,NA
"3","Refused",1,7612,NA
".","Missing",1220,8832,NA
