"CVDS2DI.Code.or.Value","CVDS2DI.Value.Description","CVDS2DI.Count","CVDS2DI.Cumulative","CVDS2DI.Skip.to.Item"
"38 to 139","Range of Values",2626,2626,NA
".","Missing",2526,5152,NA
