"OPDDRDET.Code.or.Value","OPDDRDET.Value.Description","OPDDRDET.Count","OPDDRDET.Cumulative","OPDDRDET.Skip.to.Item"
"0","No",2431,2431,NA
"1","Questionable",2,2433,NA
"2","Yes",4,2437,NA
"3","Yes, in center",0,2437,NA
".","Missing",497,2934,NA
