"DXXFRAX4.Code.or.Value","DXXFRAX4.Value.Description","DXXFRAX4.Count","DXXFRAX4.Cumulative","DXXFRAX4.Skip.to.Item"
"0.67 to 39.82","Range of Values",2258,2258,NA
".","Missing",1450,3708,NA
