"LBXCBC.Code.or.Value","LBXCBC.Value.Description","LBXCBC.Count","LBXCBC.Cumulative","LBXCBC.Skip.to.Item"
"0.5 to 22.1","Range of Values",6616,6616,NA
".","Missing",1470,8086,NA
