"WTSAU2YR.Code.or.Value","WTSAU2YR.Value.Description","WTSAU2YR.Count","WTSAU2YR.Cumulative","WTSAU2YR.Skip.to.Item"
"3358.5324887 to 411457.26869","Range of Values",1914,1914,NA
".","Missing",132,2046,NA
