"RHQ060.Code.or.Value","RHQ060.Value.Description","RHQ060.Count","RHQ060.Cumulative","RHQ060.Skip.to.Item"
"13 to 67","Range of Values",1111,1111,NA
"777","Refused",1,1112,NA
"999","Don't know",65,1177,NA
".","Missing",2387,3564,NA
