"HSQ470.Code.or.Value","HSQ470.Value.Description","HSQ470.Count","HSQ470.Cumulative","HSQ470.Skip.to.Item"
"0 to 30","Range of Values",6550,6550,NA
"77","Refused",0,6550,NA
"99","Don't know",6,6556,NA
".","Missing",3279,9835,NA
