"OSQ060.Code.or.Value","OSQ060.Value.Description","OSQ060.Count","OSQ060.Cumulative","OSQ060.Skip.to.Item"
"1","Yes",348,348,""
"2","No",5853,6201,"OSQ130"
"7","Refused",0,6201,"OSQ130"
"9","Don't know",17,6218,"OSQ130"
".","Missing",0,6218,""
