"LBXTHG.Code.or.Value","LBXTHG.Value.Description","LBXTHG.Count","LBXTHG.Cumulative","LBXTHG.Skip.to.Item"
"0.11 to 50.81","Range of Values",7920,7920,NA
".","Missing",1036,8956,NA
