"LBXHCBLA.Code.or.Value","LBXHCBLA.Value.Description","LBXHCBLA.Count","LBXHCBLA.Cumulative","LBXHCBLA.Skip.to.Item"
"3.3 to 241","Range of Values",2277,2277,NA
".","Missing",270,2547,NA
