"DR1TFOLA.Code.or.Value","DR1TFOLA.Value.Description","DR1TFOLA.Count","DR1TFOLA.Cumulative","DR1TFOLA.Skip.to.Item"
"0 to 4803","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
