"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",114,114,NA
"1","Below lower detection limit",2757,2871,NA
".","Missing",70,2941,NA
