"VTQ280E.Code.or.Value","VTQ280E.Value.Description","VTQ280E.Count","VTQ280E.Cumulative","VTQ280E.Skip.to.Item"
"1","Yes",58,58,NA
"2","No",1403,1461,NA
"7","Refused",3,1464,NA
"9","Don't know",0,1464,NA
".","Missing",25,1489,NA
