"MCQ170l.Code.or.Value","MCQ170l.Value.Description","MCQ170l.Count","MCQ170l.Cumulative","MCQ170l.Skip.to.Item"
"1","Yes",132,132,NA
"2","No",83,215,NA
"7","Refused",0,215,NA
"9","Don't know",19,234,NA
".","Missing",9536,9770,NA
