"AUXU3KL.Code.or.Value","AUXU3KL.Value.Description","AUXU3KL.Count","AUXU3KL.Cumulative","AUXU3KL.Skip.to.Item"
"-10 to 115","Range of Values",1675,1675,NA
"666","No response",2,1677,NA
"888","Could not obtain",0,1677,NA
".","Missing",130,1807,NA
