"DR2TS080.Code.or.Value","DR2TS080.Value.Description","DR2TS080.Count","DR2TS080.Cumulative","DR2TS080.Skip.to.Item"
"0 to 8.52","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
