"RXDUSE.Code.or.Value","RXDUSE.Value.Description","RXDUSE.Count","RXDUSE.Cumulative","RXDUSE.Skip.to.Item"
"1","Yes",14759,14759,""
"2","No",5751,20510,"End of Section"
"7","Refused",2,20512,"End of Section"
"9","Don't know",4,20516,"End of Section"
".","Missing",0,20516,""
