"WHD140.Code.or.Value","WHD140.Value.Description","WHD140.Count","WHD140.Cumulative","WHD140.Skip.to.Item"
"73 to 610","Range of Values",5341,5341,NA
"7777","Refused",6,5347,NA
"9999","Don't know",202,5549,NA
".","Missing",590,6139,NA
