"LBXVEA.Code.or.Value","LBXVEA.Value.Description","LBXVEA.Count","LBXVEA.Cumulative","LBXVEA.Skip.to.Item"
"0.1117 to 50.7","Range of Values",3128,3128,NA
".","Missing",319,3447,NA
