"CVDR1DI.Code.or.Value","CVDR1DI.Value.Description","CVDR1DI.Count","CVDR1DI.Cumulative","CVDR1DI.Skip.to.Item"
"39 to 139","Range of Values",2783,2783,NA
".","Missing",1819,4602,NA
