"RHQ551G.Code.or.Value","RHQ551G.Value.Description","RHQ551G.Count","RHQ551G.Cumulative","RHQ551G.Skip.to.Item"
"16","Other reasons",54,54,NA
".","Missing",3510,3564,NA
