"DXXRRBMC.Code.or.Value","DXXRRBMC.Value.Description","DXXRRBMC.Count","DXXRRBMC.Cumulative","DXXRRBMC.Skip.to.Item"
"17.67 to 185.35","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
